rStatus,rLength,separateBeds,sleepLocation,sleepLocationOther,sleepLocationPartner,sleepLocationPartnerOther,separateReason0,separateReason1,separateReason2,separateReason3,separateReason4,separateReason5,separateReason6,separateReason7,separateReason8,separateReason9,,firstSeperateBed,stayingTogether,sleepBetterSeperate,sexImproved,occupation,occupationOther,gender,age,income,education,location
Response,Response,Response,Response,Other (please specify),Response,Other (please specify),One of us snores,One of us makes frequent bathroom trips in the night,One of us is sick,We are no longer physically intimate,We have different temperature preferences for the room,We've had an argument or fight,Not enough space,Do not want to share the covers,One of us needs to sleep with a child,Night working/very different sleeping times,Other (please specify),Response,Response,Response,Response,Response,Other (please specify),Response,Response,Response,Response,Response
"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Other (please specify),Student,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
"Single, but cohabiting with a significant other",1-5 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,One of us is sick,,,We've had an argument or fight,,Do not want to share the covers,,,,Immediately/ We've always slept in separate beds,Somewhat agree,Strongly agree,Strongly disagree,Healthcare Support Occupations,,Male,18-29,,Bachelor degree,South Atlantic
Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,18-29,"$150,000+",Graduate degree,South Atlantic
Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Male,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic
"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,18-29,"$0 - $24,999",High school degree,East North Central
"Single, but cohabiting with a significant other",Less than 1 year,Every night,,,,,,,,,,,,,,,,,,,,,,Male,,,,
Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Technology Consultant,Male,45-60,,Graduate degree,Mountain
"Single, but cohabiting with a significant other",6-10 years,Never,,,,,,,,,,,,,,,,,,,,Building and Grounds Cleaning and Maintenance Occupations,,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Protective Service Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
Married,6-10 years,Once a month or less,On the couch/chair,,Separate bedroom,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England
Married,16-20 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,We have different temperature preferences for the room,,,,,,Other (please specify),Within 11-15 years of our relationship,Strongly agree,Strongly agree,Somewhat agree,Healthcare Practitioners and Technical Occupations,,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
Married,6-10 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Other (please specify),fire service,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
In a domestic partnership or civil union,1-5 years,A few times per week,Other (please specify),"We alternate, one in main bed, one on couch",Other (please specify),"We alternate, one in main bed, one on couch",One of us snores,,One of us is sick,We are no longer physically intimate,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Other (please specify),Aviation customer service,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
In a domestic partnership or civil union,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Installation, Maintenance, and Repair Occupations",,Male,30-44,,Bachelor degree,Mountain
Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Construction and Extraction Occupations,,Male,30-44,"$25,000 - $49,999",High school degree,East South Central
Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Construction and Extraction Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),n/a,Male,18-29,,,Mountain
Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired Military,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
In a domestic partnership or civil union,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
Married,1-5 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
Married,11-15 years,A few times per month,Separate bedroom,,Separate bedroom,,,,,,,,,,One of us needs to sleep with a child,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,18-29,"$100,000 - $149,999",Graduate degree,Pacific
Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Construction and Extraction Occupations,,Male,30-44,,Bachelor degree,New England
